section;restaurant;title;designer_note
Водка;pravda;Водка;Название страны указываем рядом с названием напитка более светлым и мелким шрифтом.
Бурбон;pravda;Бурбон;Название страны указываем рядом с названием напитка более светлым и мелким шрифтом.
Виски купажированный;pravda;Виски купажированный;Название страны указываем рядом с названием напитка более светлым и мелким шрифтом.
Виски односолодовый;pravda;Виски односолодовый;Название страны указываем рядом с названием напитка более светлым и мелким шрифтом.
Коньяк и бренди;pravda;Коньяк и бренди;Название страны указываем рядом с названием напитка более светлым и мелким шрифтом. У «Арарат 3*» и «Арарат 5*» нарисовать звёздочки.
Ром;pravda;Ром;Название страны указываем рядом с названием напитка более светлым и мелким шрифтом.
Текила и мескаль;pravda;Текила и мескаль;Название страны указываем рядом с названием напитка более светлым и мелким шрифтом. У «Эль Чарро» и «Эсполон» выделить «100% агава».
Джин;pravda;Джин;Название страны указываем рядом с названием напитка более светлым и мелким шрифтом.
Вермут;pravda;Вермут;Название страны указываем рядом с названием напитка более светлым и мелким шрифтом.
"Ликёры, биттеры и амаро";pravda;"Ликёры, биттеры и амаро";Название страны указываем рядом с названием напитка более светлым и мелким шрифтом.
Холодные закуски;pravda;Холодные закуски;Сохранить порядок «название → состав → выход → цена».
Горячие закуски;pravda;Горячие закуски;Сохранить порядок «название → состав → выход → цена». В строках с несколькими значениями выхода — сохранить все значения через косую черту.
Закуски фри;pravda;Закуски фри;Сохранить порядок «название → состав → выход → цена».
Салаты;pravda;Салаты;Сохранить порядок «название → состав → выход → цена».
Супы;pravda;Супы;Сохранить порядок «название → состав → выход → цена». Для борща вынести фразу «Водка к борщу — в подарок» в заметный бейдж. Сохранить все значения выхода через косую черту.
Основные блюда;pravda;Основное;Сохранить порядок «название → состав → выход → цена».
Паста;pravda;Паста;Сохранить порядок «название → состав → выход → цена».
Гарниры;pravda;Гарниры;Сохранить порядок «название → состав → выход → цена».
Соусы;pravda;Соусы;Общий выход и цену указать один раз под заголовком раздела; не дублировать у каждого соуса.
Бургеры;pravda;Бургеры;Сохранить порядок «название → состав → выход → цена».
Десерты;pravda;Десерты;Сохранить порядок «название → состав → выход → цена». Перед финальной вёрсткой уточнить, оставить чиабатту здесь или убрать.
Настойки;pravda;Фирменные настойки;Группировка настоек по сетам: сет № 1 — первые шесть, сет № 2 — следующие шесть.
Шоты;pravda;Сеты шотов;
Винная карта;pravda;Винная карта;Для каждой позиции вывести страну, регион, тип, крепость и сорта винограда. Где указана цена за бокал — вывести оба объёма (бутылка 0,75 л и бокал 0,125 л).
Пиво бутылочное;pravda;Пиво бутылочное;Для каждой позиции вывести тип, страну, крепость и плотность (где указана).
Пиво розлив;pravda;Пиво розлив;Для всех позиций обязательно разместить логотип соответствующего бренда. Два объёма — две цены (0,5 и 0,35 л).
Чай классический;pravda;Классический чай и кофе;Разделы: «Чай классический, 600 мл», «Добавки к чаю», «Кофе». Добавки к чаю выводятся компактным блоком.
Кофе;pravda;Кофе;
Чай авторский;pravda;Авторский чай;Авторский чай, 600 мл.
Чай китайский;pravda;Элитный китайский чай;Элитный китайский чай, 1000 мл.
Освежающие;pravda;Освежающие напитки;Выход напитков указан без учёта льда. Разделы: «Лимонады», «Лимонады на компанию 1000 мл», «Смузи», «Прохладительные напитки», «Свежевыжатые соки».

Холодные закуски;soyuz;Холодные закуски;
Горячие закуски;soyuz;Горячие закуски;
Закуски фри;soyuz;Закуски фри;
Салаты;soyuz;Салаты;
Супы;soyuz;Супы;
Паста;soyuz;Паста;
Бургеры;soyuz;Бургеры;
Основное;soyuz;Основное;
Гарниры;soyuz;Гарниры;
Соусы;soyuz;Соусы;Общий выход и цену указать один раз под заголовком раздела; не дублировать у каждого соуса.
Десерты;soyuz;Десерты;
Напитки Чай;soyuz;Чай;
Напитки Фирменный чай;soyuz;Фирменный чай;
Напитки Восточный чай;soyuz;Восточный чай;
Напитки Лимонады;soyuz;Лимонады;
Напитки Коктейли б/а;soyuz;Коктейли б/а;
Напитки Коктейли;soyuz;Коктейли;
Напитки Авторские;soyuz;Авторские;
Напитки Настойки;soyuz;Настойки;
Напитки Шоты;soyuz;Шоты;
Напитки Глинтвейн;soyuz;Глинтвейн;
Напитки Смузи и милкшейки;soyuz;Смузи и милкшейки;
